Code,Code Name,Code Description
10100,Captain / Master,All ships
10101,Captain / Master on ships above 3000 GT,All ships> 3000 GT
10102,Captain / Master on ships up to 3000 GT,All ships< 3000 GT
10103,Captain / Master near coastal voyages on ships up to 500 GT,Merchant ships <500 GT
10104,Staff Captain on Cruise Ships,Passenger cruise ships
10105,"Captain / Master including Offshore	 MODUs or MOPUs ",MODUs or MOPUs
10106,"Captain / Master on vessels up to 3000 GT including Offshore	 MODUs & MOPUs",Offshore & MODUs
10107,Skipper on fishing vessels of 24 metres in length and over,Fishing vessels
10108,Skipper on fishing vessels under 24 metres in length ,Fishing vessels
10110,"Chief Mate	 Chief Officer or First Officer	 First Mate",All ships
10111,"Chief Mate on ships above 3	000 GT",All ships> 3000 GT
10112,"Chief Mate on ships up to 3	000 GT",All ships< 3000 GT
10113,"Chief Mate including Offshore	 MODUs or MOPUs",MODUs or MOPUs
10114,Chief Mate on fishing vessels 24 metres in length and over,Fishing vessels
10115,Chief Mate on fishing vessels under 24 metres in length ,Fishing vessels
10120,Officer in Charge of a Navigational Watch,All ships
10121,Officer in Charge of a Navigational Watch as Second Mate / Officer,All ships
10122,Officer in Charge of a Navigational Watch as Third Mate / Officer,All ships
10123,Officer in Charge of a Navigational Watch as Fourth Mate / Officer,All ships
10124,Officer in Charge of a Navigational Watch on ships up to 500 GT (Near Coastal),Merchant ships <500 GT
10125,Officer in Charge of a Navigational Watch including MODUs or MOPUs,MODUs or MOPUs
10126,Officer in charge of a navigational watch on fishing vessels of 24 metres in length and over ,Fishing vessels
10127,Officer in charge of a navigational watch on fishing vessels under 24 metres in length ,Fishing vessels
10130,Radio officer/radio operator  ,All ships
10131,Radio officer/radio operator ROC,All ships
10132,Radio officer/radio operator GOC,All ships
10133,Radio officer/ Radio Operator on fishing vessels ,Fishing vessels
10140,Deck Cadet / Apprentice,All ships
10141,Deck cadet on fishing vessels ,Fishing vessels
10150,"Chief Engineer	 Chief Engineer Officer",All ships
10151,"Chief Engineer Officer on vessels above 3	000 kW propulsion power",All ships> 3000 KW
10152,"Chief Engineer Officer on vessels with up to 3	000 kW propulsion power",All ships< 3000 KW
10153,Staff Chief Engineer,Passenger cruise ships
10154,Chief Engineer including MODUs or MOPUs,MODUs or MOPUs
10155,Chief engineer officer of fishing vessels powered by main propulsion machinery of 750 kW propulsion power or more,Fishing vessels
10156,Chief engineer officer of fishing vessels powered by main propulsion machinery with up to 750 kW propulsion power ,Fishing vessels
10210,First Engineer,All ships
10211,First Engineer including MODUs or MOPUs,MODUs or MOPUs
10212,First Engineer on fishing vessels,Fishing vessels
10220,"Second Engineer	 Second Engineer Officer",All ships
10221,"Second Engineer	 Second Engineer Officer on vessels above 3	000 kW propulsion power",All ships> 3000 kW
10222,"Second Engineer	 Second Engineer Officer on vessels up to 3	000 kW propulsion power",All ships< 3000 kW
10223,Second Engineer including MODUs or MOPUs,MODUs or MOPUs
10224,Second engineer on fishing vessels powered by main propulsion machinery of 750 kW propulsion power or more,Fishing vessels
10230,Officer in Charge of an engineering Watch as Third Engineer,All ships
10231,Third Engineer including MODUs or MOPUs,MODUs or MOPUs
10232,Third Engineer on fishing vessels,Fishing vessels
10240,Officer in Charge of an engineering Watch as Fourth Engineer,All ships
10250,LNG Systems Engineer,LNG powered ships
10260,(Liquefied) Gas Engineer,Liquefied gas tankers
10270,Reefer Engineer,Container ships
10280,Engineer Cadet / Apprentice / Assistant Engineer,All ships
10290,Engineer Cadet / Apprentice / Assistant Engineer,All ships
10300,Chief Electro-Technical Officer/Chief Electrician,All ships
10310,First Electro-Technical Officer / First Electrician,All ships
10330,Electro-Technical Officer (ETO)  ,All ships
10331,"Electro-Technical Officer (ETO) including Offshore	 MODUs and MOPUs",MODUs or MOPUs
10332,Second Electro-Technical Officer (2nd ETO),All ships
10340,Chief Electrician,All ships
10341,Ship's Electrician/Electro-technical Rating (E.T.R.),All ships
10342,Assistant Ship's Electrician,All ships
10343,Trainee Electrician,All ships
10400,Boatswain (Bosun),All ships
10401,Chief Boatswain (Chief Bosun),Historical vessels
10402,2nd Boatswain (2nd Bosun),Passenger vessels
10403,Boatswain's Assistant (Bosun's Assistant),Passenger vessels
10410,Dual-Purpose Rating (DP Rating) (Both Deck & Engine Departments),All ships
10420,Able Bodied Seafarer (AB Deck),All ships
10430,Quartermaster (designated helmsman),Historical vessels
10440,Sailmaker,Historical vessels
10450,Ordinary Seafarer (OS Deck) / Rating Forming Part of a Navigational Watch,All ships
10460,"Deckhand	 Deck Utility (uncertified rating)",All ships
10461,Efficient Deckhand (EDH) ,All ships < 500 GT
10462,Deck Trainee,All ships
10470,Pumpman,Only on tankers
10480,Ship's Carpenter,All ships
10481,Second Ship's Carpenter (Passenger ships),Passenger vessels
10500,Fitter,All ships
10505,Donkeyman (Historical vessels),Historical vessels
10510,Storekeeper,All ships
10511,Maintenance & Workshop Technician,All ships
10512,Mechanic/Turner or Welder,All ships
10530,"A.B. Engine	 Motorman",All ships
10531,"Oiler	 qualified as an A.B. Engine ",All ships
10532,Wiper,All ships
10533,Rating Forming Part of a Watch in a Manned Engine-Room (OS Engine),All ships
10534,Engine-Room Trainee,All ships
10560,Fireman/stoker,Historical vessels
10561,Trimmer,Historical vessels
10600,Ship's Doctor (Surgeon),All ships
10601,2nd Ship's Doctor (2nd Surgeon),Passenger cruise ships
10602,1st Ship's Nurse/ Medical Orderly,Passenger cruise ships
10603,2nd Ship's Nurse/ Medical Orderly,Passenger cruise ships
10604,Hospital Secretary/Assistant,Passenger cruise ships
10605,Masseur,Passenger cruise ships
10606,Physiotherapeutic Assistant,Passenger cruise ships
10700,Chief Cook,All ships
10701,Ship's Cook,All ships
10702,Assistant Cook,All ships
10703,Baker on merchant ships which regularly carry up to 12 passengers,All ships
10800,Kitchen Management staff,Passenger vessels
10801,Executive Chef / Chef de Cuisine ,Passenger cruise ships
10802,Food & Beverage Manager,Passenger cruise ships
10803,Provisions Master,Passenger cruise ships
10804,Deputy Head Chef / Sous Chef ,Passenger cruise ships
10805,Station Chef / Chef de Partie,Passenger cruise ships
10806,Swing Chef / Tournant ,Passenger cruise ships
