IMO Data Number, Data Element, Definition
IMO0001,Agent city,The city of the referenced agent at port.
IMO0002,Agent contact family name,The agent's employee contact family name.
IMO0003,Agent country code,A code representing the country address of the referenced agent at port.
IMO0004,Agent country sub-division name,The country sub-division of the referenced agent at port.
IMO0006,Agent email,The email address for the referenced agent at port.
IMO0007,Agent identification number,The recognized identification number used by the ship’s agent at the port of notification.
IMO0008,Agent landline number,The landline telephone number for the referenced agent at port.
IMO0009,Agent mobile number,The mobile number for the referenced agent at port.
IMO0010,Agent name,The name of the agent at the port of arrival.
IMO0011,Agent postcode,An alphanumerical code representing the postal area of the referenced agent at port.
IMO0012,Agent street and number,The street and number of the referenced agent at port.
IMO0013,Arrival/departure code,A code in the message to show whether the information is submitted for the ship arrival or departure.
IMO0014,Authentication date time,The date and time of authentication.
IMO0015,Authenticator location,The location of the person when submitting the security-related information.
IMO0016,Authenticator family name,The family name of the person attesting to the validity of the transmitted information.
IMO0017,Authenticator party identification number,"An identifying number, such as an agent identifier, of the party attesting to the validity of the transmitted information."
IMO0019,Cargo brief description,A description of the type of cargo carried on the ship in general terms.
IMO0021,Transport equipment identification number,"Marks (letters and/or numbers) which identify a transport equipment (e.g. containers, semi-trailers, swap bodies)."
IMO0021,Transport equipment identification number,"Marks (letters and/or numbers) which identify a transport equipment (e.g. containers, semi-trailers, swap bodies)."
IMO0022,Cargo item description of goods,A description of the referenced packaged cargo.
IMO0022,Cargo item description of goods,A description of the referenced packaged cargo.
IMO0023,Cargo item gross volume,"A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of the cargo item."
IMO0023,Cargo item gross volume,"A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of the cargo item."
IMO0024,Cargo item gross weight,The combined weight or mass of the referenced packaged cargo and its packaging from the shipping data.
IMO0024,Cargo item gross weight,The combined weight or mass of the referenced packaged cargo and its packaging from the shipping data.
IMO0025,Cargo item HS code,"The standardized, international commodity code from the Harmonized Commodity Description and Coding System (HS) for the packaged cargo being reported."
IMO0026,Cargo item marks and numbers,An alphanumeric or symbolic identifier assigned by the shipper as a means to track cargo not carried in bulk.
IMO0028,Cargo item number of packages,A count of the type of package reported for the referenced cargo.
IMO0029,"Cargo item package type, coded",A code representing the type of package used for the referenced cargo.
IMO0031,IMO Company number,The unique company identification number shown in the Continuous Synopsis Record (CSR).
IMO0032,Ship company name,The name of the Company.
IMO0033,Company security officer email,The contact email address for the company security officer shown in the ship security plan.
IMO0034,Company security officer landline number,The contact landline number for the company security officer shown in the ship security plan.
IMO0035,Company security officer mobile number,The contact mobile number for the company security officer shown in the ship security plan.
IMO0036,Company security officer family name,The family name of the company security officer shown in the ship security plan.
IMO0037,"Crew effects description, coded",A code representing the type of the referenced crew’s effects.
IMO0039,Crew effects onboard quantity,The quantity or count of the type of the referenced crew’s effects.
IMO0040,Crew effects description,A description of the type of the referenced crew’s effects.
IMO0041,Crew effects sequence number,A sequence number indicating the order of the referenced crew’s effects in a list.
IMO0042,Crewmember rank or rating name,The description of the referenced crewmember's rank or rating on the ship.
IMO0043,"Crewmember rank or rating, coded",A code representing the referenced crewmember's rank or rating on the ship.
IMO0044,Person onboard sequence number,A sequence number indicating the order of the referenced person in the person onboard list.
IMO0045,Stowage position onboard,The position or place where goods such as dangerous goods are stored onboard the ship.
IMO0045,Stowage position onboard,The position or place where goods such as dangerous goods are stored onboard the ship.
IMO0046,Dangerous goods carried indicator,"A ""yes/no"" indicator whether the ship is carrying any dangerous goods."
IMO0047,Dangerous goods EmS number,The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying Dangerous Goods.
IMO0048,Dangerous goods flashpoint,The flashpoint of the referenced dangerous goods according to the IMO IMDG Code expressed in degrees Celsius or Fahrenheit.
IMO0049,"Dangerous goods hazard class, coded",The hazard class code of the referenced dangerous goods according to the specified regulation.
IMO0051,"Dangerous goods marine pollutant type, coded",A code representing the type of marine pollutant properties for the referenced dangerous goods from the IMO IMDG Code or IBC Code / MARPOL Convention.
IMO0052,Dangerous goods mass,The mass of the referenced dangerous goods.
IMO0053,Dangerous goods number of packages,The count of the number of packages of the referenced dangerous goods.
IMO0054,Dangerous goods packing group,The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.
IMO0055,Dangerous goods proper shipping name,"The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention."
IMO0056,Dangerous goods shipper's reference number,A number assigned by the shipper to track the referenced dangerous goods.
IMO0058,"Dangerous goods subsidiary risks, coded",Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.
IMO0059,Dangerous goods technical specifications,The recognized chemical or biological name or other name currently used for the referenced dangerous goods.
IMO0060,Dangerous goods UNDG number,United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.
IMO0061,Dangerous goods volume,The volume of the referenced dangerous goods.
IMO0063,Date and time of arrival - actual,"The date and time the ship arrives at a specified location, ATA."
IMO0064,Date and time of arrival - estimated,"The date and time the ship is estimated to arrive at a specified location, ETA."
IMO0065,Date and time of departure - actual,"The date and time the ship departs from a specified location, ATD."
IMO0066,Date and time of departure - estimated,"The date and time the ship is estimated to depart from a specified location, ETD."
IMO0067,Valid certificate indicator,"A ""yes/no"" indicator whether the ship has a valid certificate of the indicated type."
IMO0067,Valid certificate indicator,"A ""yes/no"" indicator whether the ship has a valid certificate of the indicated type."
IMO0068,Reason why ship has no valid ISSC or interim ISSC,The explanation of why the ship is not provided with a valid ISSC or a valid interim ISSC.
IMO0069,"Reason why ship has no valid ISSC or interim ISSC, coded",A coded explanation of why the ship is not provided with a valid ISSC or a valid interim ISSC.
IMO0070,"Certificate issuer flag State, coded",The code representing the country of the flag that issued the certificate.
IMO0070,"Certificate issuer flag State, coded",The code representing the country of the flag that issued the certificate.
IMO0071,Certificate expiry date,The expiration date displayed on the certificate.
IMO0071,Certificate expiry date,The expiration date displayed on the certificate.
IMO0075,Last port of call name,The name and country of the port immediately previous to the port of arrival.
IMO0076,"Last port of call, coded",A code representing the port immediately previous to the port of arrival.
IMO0077,"Measurement unit, coded","A code representing the units of measured for a referenced quantity onboard, such as crew's effects, ship's stores, and cargo."
IMO0078,Message date time,The date and time the message is sent.
IMO0082,Message sender identifier,The identifier of the party transmitting the message.
IMO0083,Master family name,The family name of the person in charge of the ship.
IMO0084,"Next port of call, coded",The port immediately subsequent to the port of departure.
IMO0085,Next port of call name,The name and country of the port immediately subsequent to the port of departure.
IMO0086,Number of crew,The count of persons actually employed for duties onboard during a voyage in the working or service of a ship and included in the crew list.
IMO0087,Number of passengers,The count of persons onboard the ship who are passengers as defined by SOLAS.
IMO0088,Number of persons onboard,The total number of persons onboard the ship including crew and passengers.
IMO0089,Person in transit indicator,A “yes/no” indicator of whether the referenced person is in transit to a foreign country.
IMO0091,"Person port of embarkation, coded",The code representing the port from which the referenced person embarked the ship.
IMO0092,Person port of disembarkation name,The name of the port from which referenced person plans to disembark.
IMO0093,"Person port of disembarkation, coded",The code representing the port from which the referenced person plans to disembark the ship.
IMO0094,Person port of embarkation name,The name of the port from which referenced person embarked.
IMO0095,Person visa number,The number assigned to the referenced person’s visa by the issuing nation.
IMO0096,"Person country of birth, coded",The code representing the referenced person’s country of birth as shown on the person’s identity document.
IMO0097,Person date of birth,The referenced person’s date of birth as shown on the person’s identity document.
IMO0098,Person family name,The family name of the referenced person.
IMO0099,"Person gender, coded",A code representing the gender of the referenced person.
IMO0100,Person given name,The given name of the referenced person.
IMO0101,Person identity or travel document expiry date,The expiry date shown on the referenced person’s identity document.
IMO0102,"Person identity or travel document issuing nation, coded",A code representing the nation issuing the referenced person’s presented identity or travel document.
IMO0103,Person identity or travel document number,The number assigned to the referenced person’s identity or travel document by the issuing nation.
IMO0104,"Person identity or travel document type, coded",A code representing the type of the referenced person’s presented identity or travel document.
IMO0105,"Person nationality, coded",A code representing the nationality of the referenced person as shown on the person’s identity or travel document.
IMO0106,Person place of birth name,The name of the referenced person’s place of birth as shown on the person’s identity or travel document.
IMO0107,"Person type, coded","A code representing the type of a person onboard the ship, such as master, crew member or passenger."
IMO0108,"Port of arrival, coded",A code representing the port where the ship arrives.
IMO0109,Port of arrival name,The name and country of the port where the ship arrives.
IMO0110,Port of call sequence number,A sequence number indicating the order of a port of call on a list.
IMO0111,"Port of departure, coded",The code representing the port from which the ship departs.
IMO0112,Port of departure name,A name and country of the port from which the ship departs.
IMO0113,"Port of discharge, coded",The code representing the port of discharge for the referenced cargo.
IMO0114,Port of discharge name,The name and country of the port of discharge for the referenced cargo.
IMO0115,Port of last waste delivery name,The name and country of the last port where waste of any type was delivered.
IMO0116,"Port of last waste delivery, coded",The code representing the last port where waste of any type was delivered.
IMO0117,"Port of loading, coded",The code representing the port of loading for the referenced cargo.
IMO0118,Port of loading name,The name and country of the port where the cargo was loaded onboard the ship.
IMO0119,Port of next waste delivery name,The name and country of the next port where the ship plans to deliver waste of any type.
IMO0120,"Port of next waste delivery, coded",The code representing the next port where the ship plans to deliver waste of any type.
IMO0121,"Port of remaining waste delivery, coded",The code representing the port where the ship intends to deliver the remaining waste.
IMO0122,Port of remaining waste delivery name,The name and country of the port where the ship intends to deliver the remaining waste.
IMO0123,Port period of stay,The scheduled duration of stay in the port of arrival in days.
IMO0124,Previous port facility call start date,The start date of a previous port facility call.
IMO0125,Previous port facility call end date,The end date of a previous port facility call.
IMO0126,Previous port of call name,The name and country of a previous port of call.
IMO0127,"Previous port of call, coded",A code representing a previous port of call.
IMO0128,"Authenticator role, coded",A code providing the role of the person attesting to the validity of the transmitted information.
IMO0129,Certificate issuer name,"The name of the body/organization that issued the certificate (in case it is a notified body, an insurance company or other)."
IMO0129,Certificate issuer name,"The name of the body/organization that issued the certificate (in case it is a notified body, an insurance company or other)."
IMO0130,Security Plan approval indicator,"A ""yes/no"" indicator of whether the ship is provided with an approved security plan onboard."
IMO0131,"Security, other matters to report",An explanation of any other security-related matters to report.
IMO0133,"Ship additional security measures, coded",A code representing a description of special or additional security measures applied in lieu of those in the security plan.
IMO0135,"Ship additional security measures, description",A description of special or additional security measures applied in lieu of those in the security plan.
IMO0136,Ship call sign,The ship’s identification used primarily for radio communications.
IMO0137,"Ship current security level, coded",A code representing the security level of the ship in the port of arrival as defined by the ISPS Code.
